Date : 2021-12-08 13:53:37
Directory : /Users/suwei/Desktop/ep-analysis-front
Total : 192 files,  14926 codes, 340 comments, 875 blanks, all 16141 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/router                                                                             |          5 |        757 |         14 |         17 |        788 |
| src/router/modules                                                                     |          3 |        410 |          6 |          7 |        423 |
| src/store                                                                              |          7 |        345 |          7 |         50 |        402 |
| src/store/modules                                                                      |          5 |        307 |          7 |         45 |        359 |
| src/styles                                                                             |          6 |        399 |         23 |         89 |        511 |
| src/utils                                                                              |         12 |        370 |         99 |         58 |        527 |
| src/views                                                                              |         56 |      9,584 |         70 |        332 |      9,986 |
| src/views/acount                                                                       |          8 |      1,540 |         21 |         59 |      1,620 |
| src/views/acount/permission                                                            |          2 |        385 |          8 |         13 |        406 |
| src/views/acount/role                                                                  |          3 |        628 |         13 |         20 |        661 |
| src/views/acount/user                                                                  |          3 |        527 |          0 |         26 |        553 |
| src/views/acount/user/components                                                       |          1 |        100 |          0 |          9 |        109 |
| src/views/dashboard                                                                    |          2 |        242 |          3 |         10 |        255 |
| src/views/dashboard/components                                                         |          1 |         81 |          3 |          4 |         88 |
| src/views/demand                                                                       |          8 |      1,301 |          5 |         49 |      1,355 |
| src/views/demand/ops                                                                   |          3 |        442 |          5 |         13 |        460 |
| src/views/demand/ops/devops                                                            |          2 |        439 |          5 |         12 |        456 |
| src/views/demand/water                                                                 |          5 |        859 |          0 |         36 |        895 |
| src/views/demand/water/alarm                                                           |          1 |        211 |          0 |          9 |        220 |
| src/views/demand/water/breakdown                                                       |          1 |        215 |          0 |          8 |        223 |
| src/views/demand/water/inspection                                                      |          1 |        215 |          0 |          9 |        224 |
| src/views/demand/water/maintenance                                                     |          1 |        215 |          0 |          9 |        224 |
| src/views/login                                                                        |          1 |        210 |          3 |         25 |        238 |
| src/views/opbench                                                                      |          1 |        313 |          0 |          8 |        321 |
| src/views/operate                                                                      |          2 |        274 |         20 |         12 |        306 |
| src/views/platdict                                                                     |          2 |        446 |          0 |         12 |        458 |
| src/views/process                                                                      |         26 |      3,988 |         18 |        121 |      4,127 |
| src/views/process/components                                                           |         16 |      2,351 |          2 |         68 |      2,421 |
| src/views/process/mixins                                                               |          1 |         58 |          4 |          5 |         67 |
| src/views/rule                                                                         |          2 |        515 |          0 |         13 |        528 |
| src/views/workbench                                                                    |          3 |        694 |          0 |         20 |        714 |
| tests                                                                                  |          8 |        215 |         14 |         18 |        247 |
| tests/unit                                                                             |          8 |        215 |         14 |         18 |        247 |
| tests/unit/components                                                                  |          3 |        120 |         14 |          7 |        141 |
| tests/unit/utils                                                                       |          4 |         90 |          0 |         10 |        100 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/suwei/Desktop/ep-analysis-front/.eslintrc.js                                    | JavaScript         |        195 |          2 |          2 |        199 |
| /Users/suwei/Desktop/ep-analysis-front/.travis.yml                                     | YAML               |          5 |          0 |          1 |          6 |
| /Users/suwei/Desktop/ep-analysis-front/Dockerfile                                      | Docker             |          5 |          2 |          2 |          9 |
| /Users/suwei/Desktop/ep-analysis-front/README-zh.md                                    | Markdown           |         53 |          0 |         10 |         63 |
| /Users/suwei/Desktop/ep-analysis-front/README.md                                       | Markdown           |         53 |          0 |         10 |         63 |
| /Users/suwei/Desktop/ep-analysis-front/babel.config.js                                 | JavaScript         |         10 |          4 |          1 |         15 |
| /Users/suwei/Desktop/ep-analysis-front/build/index.js                                  | JavaScript         |         28 |          0 |          8 |         36 |
| /Users/suwei/Desktop/ep-analysis-front/default_DEV.conf                                | Properties         |         32 |          5 |          4 |         41 |
| /Users/suwei/Desktop/ep-analysis-front/default_PRO.conf                                | Properties         |         32 |          5 |          4 |         41 |
| /Users/suwei/Desktop/ep-analysis-front/jest.config.js                                  | JavaScript         |         22 |          2 |          1 |         25 |
| /Users/suwei/Desktop/ep-analysis-front/jsconfig.json                                   | JSON               |          5 |          5 |          0 |         10 |
| /Users/suwei/Desktop/ep-analysis-front/mock/article.js                                 | JavaScript         |        116 |          0 |         13 |        129 |
| /Users/suwei/Desktop/ep-analysis-front/mock/index.js                                   | JavaScript         |         45 |          6 |          8 |         59 |
| /Users/suwei/Desktop/ep-analysis-front/mock/mock-server.js                             | JavaScript         |         65 |          6 |         11 |         82 |
| /Users/suwei/Desktop/ep-analysis-front/mock/table.js                                   | JavaScript         |         29 |          0 |          3 |         32 |
| /Users/suwei/Desktop/ep-analysis-front/mock/user.js                                    | JavaScript         |         70 |          5 |         10 |         85 |
| /Users/suwei/Desktop/ep-analysis-front/mock/utils.js                                   | JavaScript         |         20 |          4 |          2 |         26 |
| /Users/suwei/Desktop/ep-analysis-front/package.json                                    | JSON               |         67 |          0 |          1 |         68 |
| /Users/suwei/Desktop/ep-analysis-front/postcss.config.js                               | JavaScript         |          5 |          2 |          2 |          9 |
| /Users/suwei/Desktop/ep-analysis-front/public/index.html                               | HTML               |         24 |          1 |          1 |         26 |
| /Users/suwei/Desktop/ep-analysis-front/src/App.vue                                     | Vue                |         10 |          0 |          2 |         12 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/article.js                              | JavaScript         |          8 |          0 |          2 |         10 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/category.js                             | JavaScript         |         22 |          0 |          4 |         26 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/dashboard.js                            | JavaScript         |         22 |          0 |          4 |         26 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/design.js                               | JavaScript         |          8 |          0 |          2 |         10 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/efficiencyDashboard.js                  | JavaScript         |          8 |          0 |          2 |         10 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/flow.js                                 | JavaScript         |         22 |          0 |          4 |         26 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/module.js                               | JavaScript         |         29 |          0 |          5 |         34 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/operate.js                              | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/ops.js                                  | JavaScript         |         22 |          0 |          4 |         26 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/people.js                               | JavaScript         |         36 |          0 |          6 |         42 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/permission.js                           | JavaScript         |         41 |          0 |          7 |         48 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/role.js                                 | JavaScript         |         63 |          0 |         10 |         73 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/rule.js                                 | JavaScript         |         41 |          0 |          7 |         48 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/task.js                                 | JavaScript         |         81 |          0 |         13 |         94 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/user.js                                 | JavaScript         |         76 |          0 |         12 |         88 |
| /Users/suwei/Desktop/ep-analysis-front/src/api/workbench.js                            | JavaScript         |         28 |          0 |          5 |         33 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/blue.svg                             | XML                |         24 |          0 |          0 |         24 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/energy.svg                           | XML                |         27 |          0 |          0 |         27 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/indicator.svg                        | XML                |         18 |          0 |          0 |         18 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/module.svg                           | XML                |          9 |          0 |          0 |          9 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/noPermission.svg                     | XML                |        152 |          0 |          0 |        152 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/notRank.svg                          | XML                |          9 |          0 |          1 |         10 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/purple.svg                           | XML                |         24 |          0 |          0 |         24 |
| /Users/suwei/Desktop/ep-analysis-front/src/assets/yellow.svg                           | XML                |         24 |          0 |          0 |         24 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/BarChart/index.vue               | Vue                |        101 |          0 |          5 |        106 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/Breadcrumb/index.vue             | Vue                |         84 |          2 |          7 |         93 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/Breadtext/index.vue              | Vue                |         49 |          0 |          3 |         52 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/CardContainer/index.vue          | Vue                |         22 |          0 |          3 |         25 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/DisplayCard/index.vue            | Vue                |         50 |          0 |          3 |         53 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/FilterItem/index.vue             | Vue                |         20 |          0 |          3 |         23 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/Hamburger/index.vue              | Vue                |         41 |          0 |          4 |         45 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/Pagination/index.vue             | Vue                |         98 |          0 |          4 |        102 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/SvgIcon/index.vue                | Vue                |         62 |          1 |          5 |         68 |
| /Users/suwei/Desktop/ep-analysis-front/src/components/mixins/resize.js                 | JavaScript         |         58 |          4 |          5 |         67 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/index.js                              | JavaScript         |          6 |          1 |          3 |         10 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/acount.svg                        | XML                |          1 |          0 |          1 |          2 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/complete.svg                      | XML                |         16 |          0 |          0 |         16 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/dashboard.svg                     | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/dict.svg                          | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/event.svg                         | XML                |          9 |          0 |          0 |          9 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/example.svg                       | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/eye-open.svg                      | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/eye.svg                           | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/flow.svg                          | XML                |         16 |          0 |          0 |         16 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/form.svg                          | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/link.svg                          | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/nested.svg                        | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/overtime.svg                      | XML                |         17 |          0 |          0 |         17 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/password.svg                      | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/people.svg                        | XML                |         18 |          0 |          0 |         18 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/statistics.svg                    | XML                |         16 |          0 |          0 |         16 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/table.svg                         | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/template.svg                      | XML                |         16 |          0 |          0 |         16 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/timeConsume.svg                   | XML                |         16 |          0 |          1 |         17 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/timeConsumeBlue.svg               | XML                |         21 |          0 |          0 |         21 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/tree.svg                          | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/user.svg                          | XML                |          1 |          0 |          0 |          1 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/头像默认.svg                          | XML                |         27 |          0 |          0 |         27 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/无数据 .svg                          | XML                |         14 |          0 |          0 |         14 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/无流程.svg                           | XML                |         20 |          0 |          0 |         20 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/流程-蓝.svg                          | XML                |         21 |          0 |          0 |         21 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svg/节点.svg                            | XML                |         16 |          0 |          0 |         16 |
| /Users/suwei/Desktop/ep-analysis-front/src/icons/svgo.yml                              | YAML               |          5 |         13 |          5 |         23 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/AppMain.vue               | Vue                |         27 |          1 |          3 |         31 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/NavBar.vue                | Vue                |         89 |          0 |          3 |         92 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/Sidebar/FixiOSBug.js      | JavaScript         |         24 |          2 |          1 |         27 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/Sidebar/Item.vue          | Vue                |         38 |          0 |          4 |         42 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/Sidebar/Link.vue          | Vue                |         41 |          0 |          3 |         44 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/Sidebar/Logo.vue          | Vue                |         74 |          0 |          9 |         83 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/Sidebar/SidebarItem.vue   | Vue                |         83 |          6 |          7 |         96 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/Sidebar/index.vue         | Vue                |         56 |          1 |          3 |         60 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/components/index.js                  | JavaScript         |          3 |          0 |          1 |          4 |
| /Users/suwei/Desktop/ep-analysis-front/src/layout/index.vue                            | Vue                |         64 |          1 |          7 |         72 |
| /Users/suwei/Desktop/ep-analysis-front/src/main.js                                     | JavaScript         |         60 |         18 |         16 |         94 |
| /Users/suwei/Desktop/ep-analysis-front/src/permission.js                               | JavaScript         |         33 |          0 |          4 |         37 |
| /Users/suwei/Desktop/ep-analysis-front/src/router/index.js                             | JavaScript         |        343 |          8 |          9 |        360 |
| /Users/suwei/Desktop/ep-analysis-front/src/router/modules/demand.js                    | JavaScript         |         83 |          0 |          3 |         86 |
| /Users/suwei/Desktop/ep-analysis-front/src/router/modules/operate.js                   | JavaScript         |         63 |          0 |          2 |         65 |
| /Users/suwei/Desktop/ep-analysis-front/src/router/modules/tenant.js                    | JavaScript         |        264 |          6 |          2 |        272 |
| /Users/suwei/Desktop/ep-analysis-front/src/router/workspace.code-workspace             | JSON with Comments |          4 |          0 |          1 |          5 |
| /Users/suwei/Desktop/ep-analysis-front/src/settings.js                                 | JavaScript         |          5 |          8 |          3 |         16 |
| /Users/suwei/Desktop/ep-analysis-front/src/store/getters.js                            | JavaScript         |         18 |          0 |          1 |         19 |
| /Users/suwei/Desktop/ep-analysis-front/src/store/index.js                              | JavaScript         |         20 |          0 |          4 |         24 |
| /Users/suwei/Desktop/ep-analysis-front/src/store/modules/app.js                        | JavaScript         |         44 |          0 |          5 |         49 |
| /Users/suwei/Desktop/ep-analysis-front/src/store/modules/loading.js                    | JavaScript         |         26 |          0 |          6 |         32 |
| /Users/suwei/Desktop/ep-analysis-front/src/store/modules/permission.js                 | JavaScript         |         88 |          3 |         15 |        106 |
| /Users/suwei/Desktop/ep-analysis-front/src/store/modules/settings.js                   | JavaScript         |         25 |          1 |          7 |         33 |
| /Users/suwei/Desktop/ep-analysis-front/src/store/modules/user.js                       | JavaScript         |        124 |          3 |         12 |        139 |
| /Users/suwei/Desktop/ep-analysis-front/src/styles/element-ui.scss                      | SCSS               |         35 |          5 |         10 |         50 |
| /Users/suwei/Desktop/ep-analysis-front/src/styles/index.scss                           | SCSS               |        102 |          4 |         20 |        126 |
| /Users/suwei/Desktop/ep-analysis-front/src/styles/mixin.scss                           | SCSS               |         24 |          0 |          5 |         29 |
| /Users/suwei/Desktop/ep-analysis-front/src/styles/sidebar.scss                         | SCSS               |        177 |          6 |         38 |        221 |
| /Users/suwei/Desktop/ep-analysis-front/src/styles/transition.scss                      | SCSS               |         35 |          4 |         10 |         49 |
| /Users/suwei/Desktop/ep-analysis-front/src/styles/variables.scss                       | SCSS               |         26 |          4 |          6 |         36 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/auth.js                               | JavaScript         |         21 |          0 |          8 |         29 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/deep-clone.js                         | JavaScript         |         11 |          0 |          2 |         13 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/get-page-title.js                     | JavaScript         |          8 |          0 |          3 |         11 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/getDuration.js                        | JavaScript         |         26 |         14 |          6 |         46 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/index.js                              | JavaScript         |        116 |         33 |         12 |        161 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/noticeType.js                         | JavaScript         |         13 |          0 |          2 |         15 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/numberRange.js                        | JavaScript         |          9 |          0 |          2 |         11 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/request-foundation.js                 | JavaScript         |         57 |         19 |          7 |         83 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/request.js                            | JavaScript         |         48 |          7 |          5 |         60 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/scroll-to.js                          | JavaScript         |         39 |         15 |          5 |         59 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/toPercent.js                          | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/suwei/Desktop/ep-analysis-front/src/utils/validate.js                           | JavaScript         |          7 |         11 |          3 |         21 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/404.vue                               | Vue                |         61 |          0 |          3 |         64 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/permission/create.vue          | Vue                |        198 |          8 |          8 |        214 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/permission/index.vue           | Vue                |        187 |          0 |          5 |        192 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/role/create.vue                | Vue                |        359 |          7 |          8 |        374 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/role/dialog.vue                | Vue                |        119 |          2 |          4 |        125 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/role/index.vue                 | Vue                |        150 |          4 |          8 |        162 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/user/components/TabPane.vue    | Vue                |        100 |          0 |          9 |        109 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/user/create.vue                | Vue                |        159 |          0 |          8 |        167 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/acount/user/index.vue                 | Vue                |        268 |          0 |          9 |        277 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/dashboard/components/DashTemplate.vue | Vue                |         81 |          3 |          4 |         88 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/dashboard/index.vue                   | Vue                |        161 |          0 |          6 |        167 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/ops/devops/OpsTable.vue        | Vue                |        170 |          0 |          5 |        175 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/ops/devops/index.vue           | Vue                |        269 |          5 |          7 |        281 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/ops/index.vue                  | Vue                |          3 |          0 |          1 |          4 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/water/alarm/index.vue          | Vue                |        211 |          0 |          9 |        220 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/water/breakdown/index.vue      | Vue                |        215 |          0 |          8 |        223 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/water/index.vue                | Vue                |          3 |          0 |          1 |          4 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/water/inspection/index.vue     | Vue                |        215 |          0 |          9 |        224 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/demand/water/maintenance/index.vue    | Vue                |        215 |          0 |          9 |        224 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/login/index.vue                       | Vue                |        210 |          3 |         25 |        238 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/opbench/index.vue                     | Vue                |        313 |          0 |          8 |        321 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/operate/OperateTable.vue              | Vue                |        133 |         10 |          6 |        149 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/operate/index.vue                     | Vue                |        141 |         10 |          6 |        157 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/platdict/PlatDict.vue                 | Vue                |        408 |          0 |          7 |        415 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/platdict/index.vue                    | Vue                |         38 |          0 |          5 |         43 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/OperateBoard.vue              | Vue                |        167 |          0 |          9 |        176 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/category.vue                  | Vue                |        196 |          0 |          5 |        201 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/BarChart.vue       | Vue                |        109 |          0 |          4 |        113 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/BlueSvg.vue        | Vue                |         85 |          0 |          4 |         89 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/CardChart.vue      | Vue                |        256 |          0 |          4 |        260 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/EventCard.vue      | Vue                |         60 |          0 |          4 |         64 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/FlowTable.vue      | Vue                |        343 |          0 |          6 |        349 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/Histogram.vue      | Vue                |         94 |          0 |          3 |         97 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/LineChart.vue      | Vue                |        128 |          0 |          3 |        131 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/ModuleCard.vue     | Vue                |        116 |          0 |          4 |        120 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/ModuleTable.vue    | Vue                |        349 |          0 |          7 |        356 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/NumberCard.vue     | Vue                |         57 |          0 |          3 |         60 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/PeopleTable.vue    | Vue                |        124 |          1 |          4 |        129 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/PieChart.vue       | Vue                |        104 |          1 |          3 |        108 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/PurpleSvg.vue      | Vue                |         62 |          0 |          4 |         66 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/TenantTable.vue    | Vue                |         21 |          0 |          5 |         26 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/YellowSvg.vue      | Vue                |         61 |          0 |          4 |         65 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/components/category-table.vue | Vue                |        382 |          0 |          6 |        388 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/design.vue                    | Vue                |         47 |          0 |          3 |         50 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/efficiency.vue                | Vue                |        311 |          9 |          7 |        327 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/flow.vue                      | Vue                |        136 |          0 |          5 |        141 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/mixins/resize.js              | JavaScript         |         58 |          4 |          5 |         67 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/module.vue                    | Vue                |         84 |          0 |          4 |         88 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/moduleFlow.vue                | Vue                |        205 |          3 |          7 |        215 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/moduleMore.vue                | Vue                |         95 |          0 |          4 |         99 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/process/people.vue                    | Vue                |        338 |          0 |          4 |        342 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/rule/create.vue                       | Vue                |        219 |          0 |          5 |        224 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/rule/index.vue                        | Vue                |        296 |          0 |          8 |        304 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/workbench/index.vue                   | Vue                |        445 |          0 |          7 |        452 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/workbench/processTable.vue            | Vue                |        118 |          0 |          6 |        124 |
| /Users/suwei/Desktop/ep-analysis-front/src/views/workbench/templateTable.vue           | Vue                |        131 |          0 |          7 |        138 |
| /Users/suwei/Desktop/ep-analysis-front/tests/unit/.eslintrc.js                         | JavaScript         |          5 |          0 |          1 |          6 |
